CountryCode,Weight,Happy,Grumpy,Neutral,Balance,EmotionLevel
US,1.0,0.244001,0.118007,0.637993,34,36
GB,0.170186458316,0.285116,0.17385,0.541033,24,45
NL,0.152173856333,0.213056,0.115505,0.67144,29,32
FR,0.0857142537711,0.185335,0.0436443,0.77102,61,22
CA,0.0537267191081,0.291228,0.048189,0.660583,71,33
KE,0.0440993624474,0.0725889,0.0514128,0.875998,17,12
IN,0.0428571268855,0.350395,0.113494,0.536111,51,46
ES,0.0301242744878,0.0901582,0.0796006,0.830241,6,16
SG,0.0220496812237,0.371679,0.236785,0.391536,22,60
TR,0.0217391223332,0.177176,0.563421,0.259403,-52,74
CL,0.0161490623047,0.0130853,0.0415483,0.945366,-52,5
IL,0.0136645911809,0.188562,0.102079,0.70936,29,29
RU,0.0133540322904,0.0,0.0,1.0,0,0
UA,0.0118012688939,0.178432,0.104658,0.716909,26,28
BR,0.011801237838,0.0513653,0.00542105,0.94324,80,5
NO,0.0099378844952,0.222054,0.0451389,0.732807,66,26
BE,0.00931676671425,0.112713,0.116021,0.771266,-1,22
AU,0.0090062016126,0.377815,0.0960061,0.526178,59,47
DZ,0.0086956489333,0.139732,0.0785714,0.781696,28,21
PH,0.0074534133714,0.15264,0.268466,0.578894,-27,42
CU,0.0062111778095,0.341318,0.197585,0.461098,26,53
CH,0.00590061891902,0.235017,0.140534,0.624449,25,37
DK,0.00559006002855,0.292925,0.036715,0.67036,77,32
CO,0.0049689422476,0.0130952,0.0427512,0.944154,-53,5
MX,0.0037267066857,0.291813,0.171382,0.536806,26,46
DE,0.00341614779522,0.174991,0.0909091,0.7341,31,26
AT,0.00341614779522,0.218274,0.47803,0.303696,-37,69
LB,0.00341614779522,0.119697,0.634958,0.245345,-68,75
BG,0.00310558890475,0.0478788,0.334961,0.617161,-74,38
RS,0.00155279445237,0.25,0.308333,0.441667,-10,55
IT,0.00155279755796,0.152778,0.0,0.847222,100,15
IE,0.0012422355619,0.337912,0.0,0.662088,99,33
CN,0.0012422355619,0.0208333,0.0,0.979167,100,2
AE,0.0012422355619,0.528472,0.0555556,0.415972,80,58
KR,0.000931676671425,0.333333,0.0,0.666667,100,33
MY,0.000931676671425,0.0,0.0,1.0,0,0
VN,0.000931676671425,0.15,0.0,0.85,100,15
BA,0.000931676671425,0.408333,0.0666667,0.525,71,47
UY,0.000931676671425,0.0,0.0,1.0,0,0
NG,0.00062111778095,0.178571,0.227273,0.594156,-12,40
PT,0.00062111778095,0.230769,0.0,0.769231,100,23
KH,0.000310558890475,0.0,0.0,1.0,0,0
LU,0.000310558890475,0.619048,0.0,0.380952,100,61
IS,0.000310558890475,1.0,0.0,0.0,100,100
SI,0.000310558890475,0.0,0.0,1.0,0,0
ZA,0.000310558890475,0.0,0.0,1.0,0,0
DO,0.000310558890475,0.0,0.0,1.0,0,0
SE,0.000310558890475,0.95,0.0,0.05,100,95
AF,0.000310558890475,0.647059,0.0,0.352941,99,64
