
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,Monday Apr 1,boxscore,NYM,,SDP,W,11,2,,1-0,1,Tied,Niese,Volquez,,3:01,D,41053,+
2,2,Wednesday Apr 3,boxscore,NYM,,SDP,W,8,4,,2-0,1,Tied,Harvey,Richard,,2:36,N,22239,++
3,3,Thursday Apr 4,boxscore,NYM,,SDP,L,1,2,,2-1,2,1.0,Stults,Gee,Street,3:17,D,21519,-
4,4,Friday Apr 5,boxscore,NYM,,MIA,L,5,7,,2-2,3,1.0,Sanabia,Hefner,,3:31,N,24935,--
5,5,Saturday Apr 6,boxscore,NYM,,MIA,W,7,3,,3-2,3,1.0,Lyon,Webb,,2:59,D,28474,+
6,6,Sunday Apr 7,boxscore,NYM,,MIA,W-wo,4,3,,4-2,2,1.0,Rice,Cishek,,3:38,D,29780,++
7,7,Monday Apr 8,boxscore,NYM,@,PHI,W,7,2,,5-2,2,1.0,Harvey,Halladay,,2:55,N,35393,+++
8,8,Tuesday Apr 9,boxscore,NYM,@,PHI,L,3,8,,5-3,3,2.0,Lee,Gee,,2:29,N,38305,-
9,9,Wednesday Apr 10,boxscore,NYM,@,PHI,L,3,7,,5-4,3,3.0,Kendrick,Hefner,,2:55,N,38715,--
10,10,Friday Apr 12,boxscore,NYM,@,MIN,W,16,5,,6-4,3,3.0,Niese,Worley,,3:24,N,23735,+
11,11,Saturday Apr 13,boxscore,NYM,@,MIN,W,4,2,,7-4,2,3.0,Harvey,Diamond,Parnell,2:40,D,28804,++
12,12,Tuesday Apr 16 (1),boxscore,NYM,@,COL,L,4,8,,7-5,3,5.0,Nicasio,Gee,,2:59,D,21510,-
13,13,Tuesday Apr 16 (2),boxscore,NYM,@,COL,L-wo,8,9,10,7-6,3,5.0,Betancourt,Burke,,4:19,N,20239,--
14,14,Thursday Apr 18,boxscore,NYM,@,COL,L,3,11,,7-7,3,5.5,Garland,Niese,,2:54,D,18341,---
15,15,Friday Apr 19,boxscore,NYM,,WSN,W,7,1,,8-7,3,4.5,Harvey,Strasburg,,2:44,N,26675,+
16,16,Saturday Apr 20,boxscore,NYM,,WSN,L,6,7,,8-8,3,4.5,Clippard,Edgin,Soriano,3:20,D,24325,-
17,17,Sunday Apr 21,boxscore,NYM,,WSN,W,2,0,,9-8,3,3.5,Gee,Zimmermann,Parnell,2:53,D,26225,+
18,18,Tuesday Apr 23,boxscore,NYM,,LAD,L,2,7,,9-9,2,5.0,Belisario,Lyon,,3:36,N,21135,-
19,19,Wednesday Apr 24,boxscore,NYM,,LAD,W-wo,7,3,10,10-9,2,4.0,Parnell,Wall,,3:37,N,24130,+
20,20,Thursday Apr 25,boxscore,NYM,,LAD,L,2,3,,10-10,2,4.5,Jansen,Rice,League,2:59,D,24851,-
21,21,Friday Apr 26,boxscore,NYM,,PHI,L,0,4,,10-11,3,4.5,Kendrick,Gee,,2:35,N,21582,--
22,22,Saturday Apr 27,boxscore,NYM,,PHI,L,4,9,,10-12,3,4.5,Pettibone,Marcum,,3:03,D,29248,---
23,23,Sunday Apr 28,boxscore,NYM,,PHI,L,1,5,,10-13,4,4.5,Hamels,Niese,,2:55,D,28990,----
24,24,Monday Apr 29,boxscore,NYM,@,MIA,L-wo,3,4,15,10-14,4,5.5,Rauch,Marcum,,5:31,N,15605,-----
25,25,Tuesday Apr 30,boxscore,NYM,@,MIA,L-wo,1,2,,10-15,4,6.5,Webb,Hefner,,2:25,N,15018,------
26,26,Wednesday May 1,boxscore,NYM,@,MIA,W,7,6,,11-15,3,5.5,Gee,Ramos,Parnell,3:04,D,16188,+
27,27,Friday May 3,boxscore,NYM,@,ATL,W,7,5,10,12-15,4,4.0,Parnell,Walden,Familia,3:29,N,30871,++
28,28,Sunday May 5,boxscore,NYM,@,ATL,L,4,9,,12-16,3,5.0,Hudson,Niese,,3:05,D,32849,-
29,29,Tuesday May 7,boxscore,NYM,,CHW,W-wo,1,0,10,13-16,4,4.5,Parnell,Jones,,2:30,N,23394,+
30,30,Wednesday May 8,boxscore,NYM,,CHW,L,3,6,,13-17,4,5.5,Peavy,Hefner,,3:09,N,21470,-
31,31,Thursday May 9,boxscore,NYM,,PIT,W-wo,3,2,,14-17,3,5.5,Parnell,Grilli,,3:06,N,20147,+
32,32,Friday May 10,boxscore,NYM,,PIT,L,3,7,,14-18,3,5.5,Rodriguez,Marcum,Grilli,3:07,N,25153,-
33,33,Saturday May 11,boxscore,NYM,,PIT,L,2,11,,14-19,4,5.5,Liriano,Niese,,3:03,D,31160,--
34,34,Sunday May 12,boxscore,NYM,,PIT,L,2,3,,14-20,4,5.5,Wilson,Rice,Grilli,3:19,D,28404,---
35,35,Monday May 13,boxscore,NYM,@,STL,L,3,6,,14-21,4,6.5,Lynn,Rice,Mujica,2:54,N,38412,----
36,36,Tuesday May 14,boxscore,NYM,@,STL,L,4,10,,14-22,4,6.5,Gast,Gee,,2:39,N,37460,-----
37,37,Wednesday May 15,boxscore,NYM,@,STL,L,2,4,,14-23,4,6.5,Maness,Marcum,Mujica,3:07,N,38143,------
38,38,Thursday May 16,boxscore,NYM,@,STL,W,5,2,,15-23,4,6.0,Niese,Wainwright,Parnell,2:53,D,44068,+
39,39,Friday May 17,boxscore,NYM,@,CHC,W,3,2,,16-23,4,6.0,Harvey,Jackson,Parnell,2:56,D,34890,++
40,40,Saturday May 18,boxscore,NYM,@,CHC,L,2,8,,16-24,4,7.0,Feldman,Hefner,,2:51,D,38766,-
41,41,Sunday May 19,boxscore,NYM,@,CHC,W,4,3,,17-24,4,7.0,Rice,Fujikawa,Parnell,3:01,D,34258,+
42,42,Monday May 20,boxscore,NYM,,CIN,L,3,4,,17-25,4,8.0,Cueto,Marcum,Chapman,3:22,N,23038,-
43,43,Tuesday May 21,boxscore,NYM,,CIN,L,0,4,,17-26,4,9.0,Leake,Niese,,2:42,N,23183,--
44,44,Wednesday May 22,boxscore,NYM,,CIN,L,4,7,,17-27,4,10.0,Simon,Parnell,Chapman,3:09,D,30415,---
45,45,Friday May 24,boxscore,NYM,,ATL,L,5,7,10,17-28,4,11.0,Varvaro,Lyon,Kimbrel,3:52,N,32325,----
46,46,Saturday May 25,boxscore,NYM,,ATL,L,0,6,,17-29,4,12.0,Minor,Gee,,3:07,N,27622,-----
47,47,Sunday May 26,boxscore,NYM,,ATL,W,4,2,,18-29,4,11.0,Hawkins,Gearrin,Parnell,2:47,N,27296,+
48,48,Monday May 27,boxscore,NYM,,NYY,W,2,1,,19-29,4,10.0,Lyon,Robertson,Parnell,2:44,N,32911,++
49,49,Tuesday May 28,boxscore,NYM,,NYY,W-wo,2,1,,20-29,4,10.0,Rice,Rivera,,2:54,N,31877,+++
50,50,Wednesday May 29,boxscore,NYM,@,NYY,W,9,4,,21-29,4,9.0,Hefner,Phelps,,3:11,N,43681,++++
Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
