date,tweet_count,sentiment,brk_streak_day_before,brk_streak_day_of,nyk_streak_day_before,nyk_streak_day_of,nyk_days,brk_days
Dec_05_2014,3231,0.573912414,2,-1,-6,-7,1,2
Dec_06_2014,12748,0.565219231,-1,-1,-7,-7,1,1
Dec_23_2014,9381,0.576719894,1,2,-5,-5,2,2
Dec_24_2014,8560,0.55988567,2,2,-5,-5,3,1
Dec_26_2014,11286,0.563262209,2,3,-6,-6,1,3
Dec_30_2014,10280,0.568284784,1,2,-8,-8,2,1
Feb_09_2015,12171,0.581480975,-1,-2,-3,-4,2,2
Feb_11_2015,85991,0.578295446,-3,-3,-3,-4,2,1
Feb_17_2015,91127,0.580919872,-4,-4,-5,-5,6,7
Feb_19_2015,24172,0.578476928,-4,-4,-5,-5,8,9
Feb_21_2015,26431,0.593396624,1,1,-6,-6,1,1
Feb_22_2015,141635,0.575502827,1,1,-6,-7,2,2
Feb_24_2015,148365,0.559935321,2,2,-7,-7,2,1
Nov_10_2014,27216,0.594309349,2,2,-4,-5,2,1
Nov_12_2014,50119,0.637503296,2,-1,-5,-6,2,3
Nov_18_2014,582,0.654999627,-4,-4,1,-1,2,1
Nov_19_2014,9256,0.646650453,-4,-5,-1,-2,1,2
